Kedewatan;Ubud;Kelurahan
Lodtunduh;Ubud;Kelurahan
Mas;Ubud;Kelurahan
Peliatan;Ubud;Kelurahan
Petulu;Ubud;Kelurahan
Sayan;Ubud;Kelurahan
Singakerta (Singekerta);Ubud;Kelurahan
Ubud;Ubud;Kelurahan
Bangbang;Tembuku;Kelurahan
Jehem;Tembuku;Kelurahan
Peninjoan;Tembuku;Kelurahan
Tembuku;Tembuku;Kelurahan
Undisan;Tembuku;Kelurahan
Yangapi;Tembuku;Kelurahan
Bondalem;Tejakula;Kelurahan
Julah;Tejakula;Kelurahan
Les;Tejakula;Kelurahan
Madenan;Tejakula;Kelurahan
Pacung;Tejakula;Kelurahan
Penuktukan;Tejakula;Kelurahan
Sambirenteng;Tejakula;Kelurahan
Sembiran;Tejakula;Kelurahan
Tejakula;Tejakula;Kelurahan
Tembok;Tejakula;Kelurahan
Kedisan;Tegallalang;Kelurahan
Keliki;Tegallalang;Kelurahan
Kenderan;Tegallalang;Kelurahan
Pupuan;Tegallalang;Kelurahan
Sebatu;Tegallalang;Kelurahan
Taro;Tegallalang;Kelurahan
Tegallalang;Tegallalang;Kelurahan
Manukaya;Tampak Siring;Kelurahan
Pejeng;Tampak Siring;Kelurahan
Pejeng Kaja;Tampak Siring;Kelurahan
Pejeng Kangin;Tampak Siring;Kelurahan
Pejeng Kawan;Tampak Siring;Kelurahan
Pejeng Klod (Kelod);Tampak Siring;Kelurahan
Sanding;Tampak Siring;Kelurahan
Tampaksiring;Tampak Siring;Kelurahan
Bongan (Boongan);Tabanan;Kelurahan
Buahan;Tabanan;Kelurahan
Dauh Peken;Tabanan;Kelurahan
Dejan Peken (Dajan Peken);Tabanan;Kelurahan
Delod Peken;Tabanan;Kelurahan
Denbantas;Tabanan;Kelurahan
Gubug;Tabanan;Kelurahan
Sesandan;Tabanan;Kelurahan
Subamia;Tabanan;Kelurahan
Sudimara;Tabanan;Kelurahan
Tunjuk;Tabanan;Kelurahan
